City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
106,kilgore,32.3863,-94.8758,14.689999999999998,82,75,5.14,US,1706980794
107,bee ridge,27.2839,-82.4807,20.660000000000025,57,0,0.89,US,1706980794
108,afaahiti,-17.75,-149.2833,26.930000000000007,76,87,3.92,PF,1706980794
109,lihue,21.9789,-159.3672,20.77000000000004,59,75,11.32,US,1706980794
110,ouahigouya,13.5828,-2.4216,31.360000000000014,10,0,6.13,BF,1706980794
111,katabu,-4.9333,122.5167,25.140000000000043,91,98,1.04,ID,1706980713
112,ust-nera,64.5667,143.2,-27.99999999999997,100,99,1.91,RU,1706980795
113,petropavlovsk-kamchatsky,53.0452,158.6483,-19.669999999999987,85,0,4.0,RU,1706980795
114,smithers,54.7804,-127.1743,-9.819999999999993,100,75,1.03,CA,1706980795
115,ilulissat,69.2167,-51.1,-20.98999999999998,49,20,4.63,GL,1706980795
116,la passe,45.5549,-0.8967,7.1299999999999955,86,24,3.25,FR,1706980795
117,egilsstadir,65.2653,-14.3948,-2.0499999999999545,37,0,4.12,IS,1706980795
118,st. john's,47.5649,-52.7093,-1.2299999999999613,86,81,8.05,CA,1706980616
119,auki,-8.7676,160.7034,25.970000000000027,91,100,2.4,SB,1706980796
120,el jadid,33.2549,-8.506,17.77000000000004,67,18,4.48,MA,1706980688
121,kish,26.5578,54.0194,19.150000000000034,45,0,9.26,IR,1706980796
122,alice springs,-23.7,133.8833,29.560000000000002,30,100,4.63,AU,1706980796
123,kapuskasing,49.4169,-82.4331,0.05000000000001137,69,20,4.12,CA,1706980796
124,port-vila,-17.7338,168.3219,27.439999999999998,85,95,5.52,VU,1706980797
125,seven pagodas,12.6264,80.1722,26.03000000000003,78,17,4.96,IN,1706980797
126,tvoroyri,61.5556,-6.8111,4.610000000000014,76,100,16.12,FO,1706980797
127,lebu,-37.6167,-73.65,17.600000000000023,66,3,9.51,CL,1706980797
128,igarka,67.4667,86.5833,-12.259999999999991,96,100,4.49,RU,1706980797
129,colonia,50.9333,6.95,11.010000000000048,89,100,6.69,DE,1706980797
130,las terrenas,19.311,-69.5428,26.930000000000007,78,40,3.09,DO,1706980798
131,darwin,-12.4611,130.8418,27.99000000000001,85,100,6.71,AU,1706980798
132,yunak,38.8142,31.7322,0.29000000000002046,69,16,1.34,TR,1706980798
133,udachny,66.4167,112.4,-31.319999999999965,91,87,1.18,RU,1706980714
134,illapel,-31.6308,-71.1653,31.730000000000018,29,1,4.11,CL,1706980798
135,scone,56.4194,-3.4051,7.670000000000016,77,100,4.02,GB,1706980798
136,hawaiian paradise park,19.5933,-154.9731,18.730000000000018,94,100,7.2,US,1706980798
137,newman,37.3138,-121.0208,10.720000000000027,88,81,0.45,US,1706980722
138,fort bragg,35.139,-79.006,11.470000000000027,49,0,3.09,US,1706980799
139,qaqortoq,60.7167,-46.0333,-17.519999999999982,69,4,3.42,GL,1706980799
140,punaauia,-17.6333,-149.6,27.80000000000001,69,20,1.03,PF,1706980799
141,guatrache,-37.6678,-63.5302,32.30000000000001,18,34,7.03,AR,1706980799
142,mata-utu,-13.2816,-176.1745,26.78000000000003,90,100,8.85,WF,1706980799
143,gualeguay,-33.1416,-59.3097,41.150000000000034,17,0,1.29,AR,1706980799
144,la ronge,55.1001,-105.2842,1.1400000000000432,86,100,3.6,CA,1706980731
145,gole,52.1665,20.4937,9.57000000000005,76,100,9.26,PL,1706980800
146,nouadhibou,20.931,-17.0347,28.99000000000001,20,37,2.57,MR,1706980800
147,altpinar,39.2042,32.7478,0.2300000000000182,71,5,1.91,TR,1706980800
148,muravlenko,63.7898,74.523,-19.379999999999967,100,27,3.47,RU,1706980800
149,alta,69.9689,23.2717,-4.409999999999968,86,100,1.03,NO,1706980801
150,san jose del guaviare,2.5729,-72.6459,27.57000000000005,76,98,1.75,CO,1706980667
151,concepcion,-36.827,-73.0498,23.890000000000043,43,0,8.75,CL,1706980575
152,rovaniemi,66.5,25.7167,-3.329999999999984,86,0,5.14,FI,1706980801
153,jincheng,35.5022,112.8328,-5.92999999999995,96,93,0.58,CN,1706980801
154,lompoc,34.6391,-120.4579,12.180000000000007,66,100,2.57,US,1706980591
155,cururupu,-1.8283,-44.8683,31.560000000000002,52,69,3.4,BR,1706980802
156,hamilton,39.1834,-84.5333,8.060000000000002,69,0,3.6,US,1706980802
157,west island,-12.1568,96.8225,27.99000000000001,83,75,4.63,CC,1706980802
158,keflavik,64.0049,-22.5624,-2.0499999999999545,93,75,13.38,IS,1706980803
